Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","4.7µF","CAP CER 4.7UF 10V X5R 0402","C1, C5, C9, C11, C17, C32, C54, C59","","Not managed","","8","Samsung","CL05A475KP5NRNC","Volume Production","Digi-Key","1276-1480-1-ND","0.211","2.11"
"","0.1µF","CAP CER 0.1UF 16V X5R 0402","C2, C3, C4, C6, C7, C8, C10, C12, C13, C15, C16, C18, C19, C20, C21, C27, C28, C29, C34, C35, C36, C37, C38, C39, C40, C42, C43, C44, C45, C52, C53, C55, C56, C57, C58, C60","","Not managed","","36","","","","DigiKey","399-7762-1-ND","",""
"","2.2µF","CAP CER 2.2UF 10V X5R 0402","C22","","Not managed","","1","TDK","C1005X5R1A225K050BC","Volume Production","DigiKey","445-7392-1-ND","",""
"","10µF","CAP CER 10UF 10V X5R 0805","C23, C24, C25, C30, C31, C51","","Not managed","","6","Samsung","CL21A106KPCLQNC","Volume Production","Digi-Key","1276-2402-1-ND","0.13","0.78"
"","10nF","CAP CER 0402 10NF 16V X7R 10%","C26","","Not managed","","1","KEMET","C0402C103K4RECAUTO","","Digi-Key","399-17876-1-ND","0.17","0.17"
"","22pF","CAP CER 22PF 50V C0G/NP0 0402","C41","","Not managed","","1","Walsin Technologies","0402N220F500CT","Volume Production","Digi-Key","1292-1280-1-ND","0.1","0.1"
"","20pF","CAP CER 20PF 50V C0G/NP0 0402","C46, C47, C49","","Not managed","","3","Murata","GJM1555C1H200FB01D","Volume Production","Digi-Key","490-11204-1-ND","0.25","0.75"
"","1µF","CAP CER 1UF 10V X5R 0402","C48","","Not managed","","1","Kyocera AVX","0402ZD105KAT2A","Volume Production","DigiKey","478-4596-1-ND","",""
"","100µF","CAP CER 100UF 10V X5R 1210","C50","","Not managed","","1","Taiyo Yuden","LMK325ABJ107MMHP","","DigiKey","587-5467-1-ND","",""
"","180R","FERRITE BEAD 180 OHM 0603 1LN","FB1, FB2","","Not managed","","2","TDK","MPZ1608S181ATAH0","Volume Production","Digi-Key","445-5220-1-ND","0.1","0.2"
"","Stencil_Alignment","","H1, H2, H3, H4","","Not managed","","4","","","","","","",""
"","73725-0110BLF","CONN RCPT USB2.0 TYPEA 4POS R/A","J1, J3","","Not managed","","2","Amphenol ICC / FCI","737250110BLF","","Digi-Key","609-1041-ND","1.12","2.24"
"","10033526-N3212LF","CONN RCPT MINI USB B 5POS SMD RA","J2","","Not managed","","1","","","","DigiKey","609-4700-2-ND","",""
"","DM3BT-DSF-PEJS","CONN MICRO SD CARD PUSH-PUSH R/A","J4","","Not managed","","1","Hirose","DM3BT-DSF-PEJS","Volume Production","DigiKey","HR1942TR-ND","",""
"","DF23C-40DP-0.5V(92)","0.5mm Pitch Low-Profile (H=1.5mm) Board to Board / FPC to Board Connectors","J5","","Not managed","","1","","","","Digi-Key","H124750CT-ND","",""
"","Header 4","Header, 4-Pin","J6","","Not managed","","1","","","","","","",""
"","2.2µH","FIXED IND 2.2UH 2.5A 87MOHM SMD","L1","","Not managed","","1","Samsung","CIGT201610EH2R2MNE","Volume Production","Digi-Key","1276-6901-1-ND","0.29","0.29"
"","100k","RES SMD 100K OHM 1% 1/16W 0402","R1, R2, R11, R19, R24, R25, R26, R28, R29, R30","","Not managed","","10","Vishay","CRCW0402100KFKEDC","","Digi-Key","541-3960-1-ND","0.033","0.33"
"","22k","RES SMD 22K OHM 1% 1/16W 0402","R3, R32","","Not managed","","2","Bourns","CR0402-FX-2202GLF","Volume Production","Digi-Key","CR0402-FX-2202GLFCT-ND","0.01","0.1"
"","20k 1%","RES SMD 20K OHM 1% 1/16W 0402","R4","","Not managed","","1","","","","DigiKey","CR0402-FX-2002GLFCT-ND","",""
"","4.7k 1%","RES SMD 4.7K OHM 1% 1/16W 0402","R5, R6","","Not managed","","2","","","","DigiKey","CR0402-FX-4701GLFCT-ND","",""
"","51R","RES SMD 51 OHM 1% 1/16W 0402","R8, R14, R15, R16","","Not managed","","4","Yageo","AC0402FR-0751RL","Volume Production","Digi-Key","YAG3500CT-ND","0.022","0.22"
"","0R","RES SMD 0 OHM JUMPER 1/16W 0402","R9, R33","","Not managed","","2","TE Connectivity","CRG0402ZR","Volume Production","DigiKey","A106025CT-ND","",""
"","5.62k 1%","RES SMD 5.62K OHM 1% 1/16W 0402","R12","","Not managed","","1","Yageo","AC0402FR-075K62L","Not Recommended for New Design","Digi-Key","YAG5303CT-ND","0.1","0.1"
"","2.2k","RES SMD 2.2K OHM 1% 1/5W 0402","R20, R21","","Not managed","","2","","","","","","",""
"","15k","RES SMD 15K OHM 1% 1/5W 0402","R31","","Not managed","","1","Panasonic","ERJ-PA2F1502X","Volume Production","Digi-Key","P17231CT-ND","0.22","0.22"
"","SAM9X60D1G-I/4FB","ARM926 MPU, 1GBIT DDR2, BGA, IND TEMP","U1","","Not managed","","1","","","","Digi-Key","150-SAM9X60D6K-I/4GB-ND","",""
"","MIC2800-G8SYML","DC-DC + 2 Linear Regulators with LowQ Mode & POR 16 VQFN 3x3x0.90mm T/R RoHS Compliant: Yes","U2","","Not managed","","1","Microchip","MIC2800-G8SYML-TR","","Digi-Key","MIC2800-G8SYML-TR-ND","",""
"","TPD2E001DRSR","Dual 1.5-pF, 5.5-V, ±8-kV ESD protection diode with 1-nA max leakage & VCC pin for USB 2.0 6-SON -40 to 85","U3, U4, U5","","Not managed","","3","Texas Instruments","TPD2E001DRSR","Volume Production","Arrow Electronics","TPD2E001DRSR","0.6161","1.85"
"","ECLAMP2410PQTCT","ESD Suppressors / TVS Diodes 5V 6-Line AEC-Q100 SLP4016P16","U6","","Not managed","","1","Semtech","ECLAMP2410PQTCT","Volume Production","Digi-Key","ECLAMP2410PQTCTCT-ND","1.6","1.6"
"","DSC1001BI5-024.0000T","Low-Power Precision CMOS Oscillator 24MHz 1.7V to 3.6V 10ppm 4-Pin Surface Mount T/R","Y1","","Not managed","","1","Microchip","DSC1001BI5-024.0000T","Volume Production","Digi-Key","DSC1001BI5-024.0000T-ND","",""
